"No","회계연도","지역명","자치단체코드","자치단체명","행사축제명","사업내용","총비용","사업수익","순원가","개최시작일자","개최종료일자"
"403","2023","전북","4574000","전북장수군","장수 한우랑 사과랑 축제","○ 행 사 명 : 제17회 장수 한우랑 사과랑 축제
○ 슬 로 건 : 색에 반하고 맛에 취하는 장수 한우랑 사과랑 축제
○ 행사기간 : 2023.09.14. ~ 09. 17.  / 4일간
  * 코로나19로 인한 축제 취소
○ 장      소 : 장수군 의암공원 및 장수군일원
○ 행사내용 : 장수한우마당 등 7개분야 67개 프로그램
○ 주최/주관 : 장수군 / 사)장수한우랑사과랑축제추진위원회","1220000000","70000000","1150000000","20230914","20230917"
"404","2023","전북","4575000","전북임실군","임실N치즈축제","- 농특산물 판매(임실농특산물 유투브 홍보, 농특산물 홍보관 운영)
- 임실N치즈 판매(라이브커머스)
- 랜선 비대면 체험행사(얌얌 치즈 쿡 페스타)
- 국화전시","1030000000","0","1030000000","20231006","20231009"
"405","2023","전북","4575000","전북임실군","임실 산타축제","공연, 체험, 먹거리, 경관조성 등","300000000","0","300000000","20231223","20231225"
"406","2023","전북","4575000","전북임실군","임실치즈테마파크 아쿠아 페스티벌","물놀이시설 설치, 편의시설 제공, 공연 이벤트, 행사운영 등","400000000","400000000","0","20230715","20230806"
"407","2023","전북","4575000","전북임실군","의견문화제","대한민국 의로운 반려동물 대상 시상, 반려동물보호 토크쇼, 반려동물 패션쇼  등 공식 및 축하공연","300000000","30000000","270000000","19000101","20230507"
"408","2023","전북","4576000","전북순창군","순창장류축제","장류 브랜드 제고 및 생산적 축제 육성을 위한 각종 프로그램, 체험 및 판매 행사 운영","1050000000","0","1050000000","20231013","20231015"
"409","2023","전북","4577000","전북고창군","모양성제","대표프로그램 : 답성놀이, 강강술래 체험 및 재연 등 
주제프로그램 : 빽투더1453, 거리페레이드 등
방문객참여체험프로그램 : 전통한복체험, 체험마당 등
 ","1024455630","864000000","160455630","20231019","20231023"
"410","2023","전북","4578000","전북부안군","부안마실축제","  ❍ 기    간 : ‘23. 5. 3.(금) ~ 5. 6.(월) / 4일간
  ❍ 장    소 : 부안 매창공원 일원
  ❍ 사 업 비 : 1,100백만원 (도비 200 군비 900) 
  ❍ 내    용 : 공식행사, 마마스앤파파스 뮤직페스티벌, 
                퍼레이드, 최고의 마실을 찾아라 등 ","1090204320","200000000","890204320","20230503","20230506"
"411","2023","전북","4578000","전북부안군","문화재 야행","대표공연 : 무형문화재 및 비문화재 공연, 용기퍼레이드, 미디어파사드 
거리공연 : 무형문화재 공연, 비문화재 공연 
체험행사 : 야사, 야경, 야로, 야식, 야시 등 8가지 유형 29개 체험","307197040","0","307197040","20231020","20231021"
"412","2023","전북","4578000","전북부안군","부안붉은노을축제","  ❍ 기    간 : ’23. 10. 13.(금) ~ 10. 15.(일) / 3일간
  ❍ 장    소 : 변산해수욕장 일원
  ❍ 사 업 비 : 550백만원 
  ❍ 내    용
    - 레드와인 페스타 및 붉은노을 동요제, 재즈페스티벌 등","540351600","250000000","290351600","20231013","20231015"
